title,company,location,status,match_score,apply_attempted_at
2026 Summer/Fall Software Testing Co-Op,Synopsys,"Waterloo, Ontario",skipped,53,
"Software Developer I (Full Stack Golang and Rust), Video Ingest and Processing Bell MediaTV",Bell,"Toronto, Ontario",pending,70,
Senior Cloud Services Developer (mmHg),Myant Shared Service Corp.,"Oakville, Halton",skipped,0,
"Senior IT Developer, TD Securities - Mainframe",TD,Canada,skipped,0,
Software Engineer III,TD,Canada,skipped,54,
"Senior Java Software Engineer, TD Securities",TD,Canada,skipped,0,
Développeur Logiciel - Software Developer,CameleonHR,"Pointe-Claire, Quebec",pending,58,
Senior Java & Python Developer,Prospect 33,"Halifax Regional Municipality, Nova Scotia",skipped,0,
"Software Developer I, Full Stack, Video Pipeline, Bell MediaTV",Bell,"Toronto, Ontario",pending,75,
Senior Software Developer - Computational Design,Autodesk,Canada,skipped,0,
Software Engineering Specialist,Business Development Bank of Canada,"Montréal, Québec",pending,65,
Full Stack Software Engineer,Manulife,Canada,pending,70,
Full Stack Engineer  (Remote - Canada),Yelp,"Toronto, Ontario",pending,65,
Software Engineer,ClearBlue Markets,"Toronto, Ontario",pending,70,
Full Stack Developer,Corpay,"Toronto, Ontario",pending,60,
Software Engineer - Payments,Royal Bank of Canada,Canada,skipped,50,
Full Stack Developer (Laravel),Worksite Safety,"Burlington, Halton",pending,62,
"Senior Software Engineer, AI (Agents)",Klue,"Greater Vancouver, British Columbia",skipped,0,
Transportation Co-op Student - Summer 2026,Stantec,"Stoney Creek, Hamilton region",skipped,40,
Software Engineer,Rakuten,Canada,pending,70,
Software Developer,Price Industries,"Winnipeg region, Manitoba",pending,62,
Front-End Developer (contract) [4919],Alteo,"Outremont, Montréal",skipped,0,
Satellite Flight Software Engineer,Alquemy,"Montréal, Québec",skipped,42,
IoT Developer,"Magna International, Inc","Brampton, Peel region",skipped,53,
Agentic AI Tester Co-op,"Magna International, Inc","Toronto, Ontario",skipped,53,
"Sr Mainframe Developer, TD Securities",TD,Canada,skipped,50,
Full Stack Developer,Swim Recruiting,Canada,pending,71,
Senior Software Developer,Range,"Toronto, Ontario",skipped,0,
Android Developer,CBC/Radio-Canada,Canada,skipped,0,
"Software Developer, DevOps",the Kraken Robotics Career Center,"Mount Pearl, Conception Bay - St. Johns",skipped,53,
Full Stack Developer,GFL Environmental,Canada,skipped,0,
Senior Full Stack React Developer,Sun Life,Canada,skipped,0,
Full Stack Developer,Royal Bank of Canada,Canada,pending,74,
Développeur Java junior/ Entry-level Java developer,mthree,"Montreal, Quebec",pending,72,
Senior Full Stack Developer,Scribendi,"Toronto, Ontario",skipped,0,
Full-Stack Web Developer,ENRICH CONCIERGE INC.,"Richmond, Greater Vancouver",pending,70,
Senior Front-end Software Developer (12-month Contract),Nelson Education LTD,"Toronto, Ontario",skipped,0,
Senior Full Stack Developer - Operate,Deloitte,"Toronto, Ontario",skipped,0,
"Senior Developer, Fullstack",KOHO,Canada,skipped,0,
Entry Level Full-Stack Developer,mthree Recruiting Portal,"Montréal, Québec",pending,68,
Full Stack Developer,Finlink Group,Canada,pending,74,
Software Developer,Fidelity International,"Toronto, Ontario",pending,70,
Lead Front End Developer,OSTTRA,Canada,skipped,49,
"Full Stack Developer (.Net, Azure and React/Angular)",Lumovy Technology Solutions,Canada,pending,62,
Senior .Net/Angular/Python/Mendix Developer,Business Development Bank of Canada,"Montréal, Québec",skipped,0,
Front End Engineer - Analytics & Compute Experience,Snowflake,"Toronto, Ontario",pending,56,
"Senior Software Developer, CNN AD Experiences",Warner Bros. Discovery,Canada,skipped,0,
Intermediate Full Stack Software Engineer,Perch,Canada,pending,69,
Lead Full-Stack Software Developer,FIC,"Vancouver, Greater Vancouver",skipped,50,
Senior Software Engineer - SELECT by DoiT,DoiT,"Toronto, Ontario",skipped,0,
Senior Full Stack Integrations Developer,Octopus HR,"Ottawa, Ottawa region",skipped,0,
Backend Developer,Actalent,"Kanata, Ottawa region",pending,69,
C#.NET Developer,Impact Logic Inc.,"Calgary, Calgary region",pending,57,
Backend Developer,Actalent,"Kanata, Ottawa region",pending,69,
RQ10722 - Software Developer - Full Stack - Senior,Maarut,"East York, Toronto",skipped,50,
Mobile Developer,Best Buy Canada,Canada,skipped,0,
iOS Developer,CBC/Radio-Canada,Canada,skipped,0,
Senior Software Engineer - 12 Month Contract,Quadient,"Greater Vancouver, British Columbia",skipped,0,
Senior Software Engineer,Lantern,Canada,skipped,0,
Senior Software Engineer,SS&C,"Toronto, Ontario",skipped,0,
Software Engineer III - WPF,Versaterm,"Greater Vancouver, British Columbia",pending,57,
Senior Growth Engineer (Frontend or Backend),Faire,"Toronto, Ontario",skipped,0,
Software Developer - Intern,ThinkTech,"Calgary, Calgary region",pending,76,
Software Engineer,Lantern,Canada,pending,71,
Senior Software Engineer,Lantern,"Vancouver, Greater Vancouver",skipped,0,
Agentic AI Application UI/UX Co-op,"Magna International, Inc","Toronto, Ontario",skipped,53,
"Front End Engineer, Chronicle Analytics",Amazon,"Greater Vancouver, British Columbia",pending,70,
Intermediate Software Engineer,MCAP,Canada,pending,60,
Web developer,Toronto Infotech Inc.,"Mississauga, Peel region",pending,66,
Web Developer,XYZ STUDIO LTD,"Greater Vancouver, British Columbia",pending,71,
Web developer,Unknown,"Surrey, Greater Vancouver",pending,66,
Front-end Web developer,Codesk,"Edmonton, Edmonton region",pending,69,
Web developer,Unknown,"Calgary, Calgary region",pending,71,
Web developer,Holy Shakes/t.os kathi roll eatery,"Brampton, Peel region",pending,66,
Web developer,Unknown,"Fort St. John, Peace River region",pending,58,
Learning Multimedia Developer,BMO,"Toronto, Ontario",skipped,0,
Database Developer,Deluxe,Canada,pending,57,
"Associate Software Engineer (Web, SDK Platform)",Apryse,"Ontario, Canada",pending,69,
Software Developer II,7shifts,"Toronto, Ontario",pending,69,
Fullstack Engineer (Digital Experience),Nex,Canada,pending,70,
Software Developer II,7shifts,"Saskatoon, Saskatchewan",pending,62,
"Senior Software Engineer, eScribe",eSCRIBE,"Toronto, Ontario",skipped,50,
Software Developer,Fidelity International,"Toronto, Ontario",pending,70,
.Net Core Web Developer (Intermediate),Synthiam,"Calgary, Calgary region",pending,57,
"Software Engineer, Backend (Remote)",Rivalry,"Toronto, Ontario",skipped,50,
RQ10723 - Software Developer - Senior,Maarut,"East York, Toronto",pending,56,
Acumatica Developer (Canada - Remote),NexTec Group,Canada,pending,57,
Full Stack Engineer,BusPlanner,"Waterloo, Waterloo region",pending,56,
Senior Applications Developer,Sobeys,"Calgary, Calgary region",skipped,0,
Senior Applications Developer,Sobeys,"Burnaby, Greater Vancouver",skipped,0,
Senior Applications Developer,Sobeys,"Mississauga, Peel region",skipped,0,
Business Development CO-OP Student,Dexterra,"Mississauga, Peel region",skipped,40,
Senior Software Developer,Siemens Healthineers,Canada,skipped,0,
"Junior Software Engineer (Python) - Montreal - Up to $130,000 CAD + Exceptional Bonuses/Benefits",Hunter Bond,"Montreal, Quebec",pending,63,
"Software Developer I (Full Stack Golang and Rust), Video Ingest and Processing Bell MediaTV",Bell,"Vancouver, British Columbia",pending,63,
IBM Datapower Developer / 100% remote from Canada,"Q1 Technologies, Inc.","Toronto, Ontario",skipped,46,
iSeries Developer,Querentia,"Toronto, Ontario",skipped,50,
Software Engineer in Test II,Wenco International Mining Systems,Canada,skipped,50,
Node JS Developer,Smart IT Frame LLC,Canada,skipped,0,
Software Engineering Intern,The Citco Group Limited,"Toronto, Ontario",manual_required,76,2026-03-20 07:02:45.281918+00
Software Engineer I - Entry Level,Mercor,Canada,manual_required,76,2026-03-20 07:02:16.462049+00
Junior Web Developer,MNC JOBS INFO,"Calgary, Alberta",manual_required,,2026-03-20 06:31:37.575749+00
